Scenario,Algorithm,run,HV,IGD+,runtime_s,evaluations,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Intersection_Easy,nsga2,0,0.8406060565413839,0.1294485494340857,34.500772800063714,4860.0,282.9396768936422,4646.0,275.4503441025736,1503.0,97.35302843585141,1705.0,3156.0,4861.0,0.3507508743056984
Intersection_Easy,nsga2,1,0.8410052926439806,0.12944611225496874,34.88129839999601,4860.0,296.6625300013693,4666.0,289.27643430035096,1563.0,97.51027010354686,1743.0,3118.0,4861.0,0.35856819584447647
Intersection_Easy,nsga2,2,0.8381227813294286,0.12965587468531856,32.36395769997034,4860.0,276.2449987969594,4653.0,270.35707670042757,1476.0,97.86858689852356,1674.0,3187.0,4861.0,0.34437358568195847
Intersection_Easy,nsga2,3,0.8394889283111068,0.12947834532254118,34.3181110000005,4860.0,302.0146660989849,4668.0,294.2696166962851,1538.0,97.4355386436229,1715.0,3146.0,4861.0,0.3528080641843242
Intersection_Easy,nsga2,4,0.8402743520064146,0.12945437815120794,33.60995589999948,4860.0,286.53230549627915,4632.0,279.7412978995126,1474.0,97.62993300702885,1692.0,3169.0,4861.0,0.3480765274634849
Intersection_Easy,nsga2,5,0.8408430574522312,0.12947168232896147,35.70505589991808,4860.0,304.95689950243104,4691.0,298.9407412002329,1474.0,98.027210300205,1619.0,3242.0,4861.0,0.3330590413495166
Intersection_Easy,nsga2,6,0.8405749663353534,0.12945232733235282,35.57827569998335,4860.0,290.5820763949305,4670.0,282.97014160093386,1431.0,97.38045274903631,1606.0,3255.0,4861.0,0.330384694507303
Intersection_Easy,nsga2,7,0.8394320077538912,0.12947853950240792,39.28960639995057,4860.0,325.08719640248455,4670.0,316.32455239933915,1549.0,97.3045250320174,1721.0,3140.0,4861.0,0.3540423781114997
Intersection_Easy,nsga2,8,0.8386021971445368,0.12988493923662475,36.77449559990782,4860.0,287.92028049973305,4654.0,280.5327890033368,1508.0,97.43418855956446,1701.0,3160.0,4861.0,0.3499279983542481
Intersection_Easy,nsga2,9,0.8405718761859376,0.129452530038149,34.74701729998924,4860.0,271.0948104006238,4680.0,264.91344209969975,1458.0,97.71985000679679,1613.0,3248.0,4861.0,0.3318247274223411
Intersection_Easy,sms-emoa,0,0.8407721935329087,0.12950787843005157,36.03246139991097,4860.0,278.9803446026053,4644.0,272.1213258985663,1498.0,97.54139714974924,1701.0,3160.0,4861.0,0.3499279983542481
Intersection_Easy,sms-emoa,1,0.8403800877263827,0.12945153351064223,37.807111100060865,4860.0,287.212578500621,4665.0,280.18009050004184,1538.0,97.55146935510557,1715.0,3146.0,4861.0,0.3528080641843242
Intersection_Easy,sms-emoa,2,0.8405600903939612,0.1294490631947803,37.73736300005112,4860.0,290.4820293961093,4653.0,283.46122080262285,1537.0,97.58304890389185,1737.0,3124.0,4861.0,0.357333881917301
Intersection_Easy,sms-emoa,3,0.8402450683746071,0.12946738162237786,35.837062099948525,4860.0,271.91533760365564,4639.0,265.7432258980116,1464.0,97.73013476913887,1668.0,3193.0,4861.0,0.343139271754783
Intersection_Easy,sms-emoa,4,0.8403911147467181,0.1294733510382708,36.54354189999867,4860.0,295.087524898001,4666.0,288.43361470114905,1540.0,97.74510623614064,1726.0,3135.0,4861.0,0.3550709730508126
Intersection_Easy,sms-emoa,5,0.8404940810723908,0.12946426804889186,37.060305900056846,4860.0,285.8000656035729,4661.0,279.2351031014696,1522.0,97.70295276586486,1694.0,3167.0,4861.0,0.34848796543921
Intersection_Easy,sms-emoa,6,0.8407200294124588,0.1294719055725872,35.9762598000234,4860.0,283.2296314983396,4639.0,276.6286903989967,1511.0,97.66940306901412,1715.0,3146.0,4861.0,0.3528080641843242
Intersection_Easy,sms-emoa,7,0.8403025471247982,0.129452822714758,36.68959520000499,4860.0,292.5654538003728,4676.0,284.83299749996513,1549.0,97.35701662654822,1717.0,3144.0,4861.0,0.3532195021600494
Intersection_Easy,sms-emoa,8,0.8404824013447569,0.12945071166466957,40.11142289999407,4860.0,314.3156199987279,4677.0,306.9138108009938,1536.0,97.64510297077693,1702.0,3159.0,4861.0,0.3501337173421107
Intersection_Easy,sms-emoa,9,0.8402367099065475,0.1294553931828284,37.94299939996563,4860.0,285.56945720431395,4674.0,279.22391730116215,1437.0,97.77793466945877,1604.0,3257.0,4861.0,0.3299732565315779
Intersection_Easy,qehvi,0,0.8410788149804361,0.12944602983142597,14.411290999967605,40.0,3.26534820033703,49.0,3.2325079003348947,49.0,98.99427877251358,41.0,8.0,49.0,0.8367346938775511
