Algorithm,HV (median),HV (IQR),HV median 95% CI,IGD+ (median),IGD+ (IQR),IGD+ median 95% CI,Runtime (median s),Runtime (IQR s),Evaluations/run,Eval time (median s),Eval calls/run,Verifyta time (median s),Verifyta calls/run,Verifyta share (median %),Feasible calls/run,Infeasible calls/run,Feasibility rate (median),Feasibility rate (overall)
eps-constraint,0.6361779156690667,0.4333988440606805,"[0.5542, 0.6707]",0.35807042581386334,0.3434858481457453,"[0.2646, 0.4116]",15.871253699995577,6.6170623249490745,2184.0,15.81328035221668,2184.0,15.60674609983107,219.0,98.61542441922947,187.0,1996.0,0.0900734544955984,0.08563399186275744
moead,0.7207793283443336,0.39315031815888013,"[0.6119, 0.8115]",0.30374710604307875,0.30977062626654484,"[0.1936, 0.3556]",32.85172974993475,6.089624049986014,4860.0,285.1440259970841,3960.0,278.2204335500137,1378.0,97.65462975345814,2239.5,2588.0,0.4659349879028242,0.470594783047003
nsga2,0.7068591131980131,0.3984979917584203,"[0.6084, 0.8053]",0.3095487709958231,0.31635170690811176,"[0.194, 0.3585]",37.80356460000621,5.347497450013179,4860.0,320.0195851972676,4665.0,311.5133767480729,1539.0,97.49129401137684,1708.0,3153.0,0.3513680312692862,0.35173832544743877
qehvi,0.6751295770817601,0.40842379668204287,"[0.5831, 0.7875]",0.3404932059144626,0.3325100640659924,"[0.2043, 0.3574]",14.922623749997001,4.59587152505992,40.0,3.5950179001083598,52.0,3.557438049814664,51.0,98.97427938718704,41.0,11.5,0.7843137254901961,0.26072062928190815
sms-emoa,0.7007171544963537,0.3994957305750533,"[0.65, 0.8041]",0.30879262459296497,0.3178227781987771,"[0.2579, 0.3578]",37.82566155004315,5.178485349955736,4860.0,314.1547475467087,4668.0,306.7502905006404,1540.0,97.46174954169078,1714.5,3146.5,0.3527052046903929,0.35194815881505864
