Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Platooning_Hard,0,0.08965596534812348,0.0003411814607788312,33.053006000001915,4860,80,False,283.16357819596305,3905,276.4194561993936,1311,97.61829468339951,2267,2594,4861,0.4663649454844682
Platooning_Hard,1,0.08967220948054311,0.00032507204622485243,40.647760599968024,4860,80,False,354.74650259979535,4007,343.11662330222316,1581,96.72163665819355,2435,2426,4861,0.5009257354453817
Platooning_Hard,2,0.08977940355390568,0.00021876696812535607,44.09129750006832,4860,80,False,356.8204530017683,3997,347.2719310983084,1476,97.3239981556179,2340,2521,4861,0.4813824315984365
Platooning_Hard,3,0.08905101454782516,0.0009820941704467264,45.47644310002215,4860,80,False,372.12630619842093,4005,363.0793542995816,1509,97.56884913854614,2365,2496,4861,0.486525406295001
Platooning_Hard,4,0.09000000000000008,0.0,49.62493139994331,4860,80,False,404.4393922967138,3963,394.6462458971655,1593,97.57858740120852,2491,2370,4861,0.5124459987656861
Platooning_Hard,5,0.08903420069329093,0.0009577896194026388,51.84034800005611,4860,80,False,431.70136429253034,3960,421.298708400107,1638,97.59031201824642,2539,2322,4861,0.5223205101830899
Platooning_Hard,6,0.0892327925130485,0.0007608447861016165,45.053535699960776,4860,80,False,380.2308607972227,3983,371.75560600089375,1507,97.77102395671959,2385,2476,4861,0.4906397860522526
Platooning_Hard,7,0.08983497993267608,0.00016365150231325014,44.430678299977444,4860,80,False,348.8473340990022,3980,341.33481359796133,1450,97.84647329455905,2331,2530,4861,0.4795309607076733
Platooning_Hard,8,0.0807262419214938,0.009196847790986873,42.81927369988989,4860,80,False,353.77168190071825,3947,345.91336100152694,1393,97.77870267711347,2307,2554,4861,0.4745937049989714
Platooning_Hard,9,0.08895681818444423,0.001034530369972492,46.62468029989395,4860,80,False,362.7036948999157,3933,354.38321430108044,1488,97.70598405369671,2416,2445,4861,0.4970170746759926
