Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Overtaking_Easy,0,0.11333333333333351,0.0,28.62317489995621,4860,80,False,260.5489483999554,3958,254.9214726028731,1339,97.84014641715466,2222,2639,4861,0.4571075910306521
Overtaking_Easy,1,0.11333333333333351,0.0,28.610302199958824,4440,73,True,250.8195495972177,3669,245.01025350170676,1290,97.68387428139478,2040,2401,4441,0.45935600090069806
Overtaking_Easy,2,0.11305108540383402,0.00021517339428364356,29.90105070010759,4860,80,False,274.1013738930924,3991,267.81058530241717,1382,97.70494087595168,2243,2618,4861,0.4614276897757663
Overtaking_Easy,3,0.11333333333333351,0.0,31.689594900002703,4860,80,True,286.3801857929211,3926,278.8524811012903,1458,97.37142963617113,2375,2486,4861,0.4885825961736268
Overtaking_Easy,4,0.11333333333333351,0.0,28.37532790005207,3960,65,True,253.21133799757808,3244,246.3466810999671,1282,97.28896148494084,1988,1973,3961,0.5018934612471598
Overtaking_Easy,5,0.11333333333333351,0.0,32.77273600001354,4860,80,False,292.1602914992254,4000,284.6394883999601,1504,97.42579559300404,2338,2523,4861,0.4809709936227114
Overtaking_Easy,6,0.11333333333333351,0.0,29.84777629992459,4860,80,False,269.35911900445353,4010,263.5438894032268,1368,97.84108679048263,2197,2664,4861,0.45196461633408763
Overtaking_Easy,7,0.11333333333333351,0.0,27.416808899957687,4020,66,True,245.25427330168895,3240,239.05525380047038,1257,97.47241121723775,2019,2002,4021,0.5021139020144243
Overtaking_Easy,8,0.11333333333333351,0.0,31.884150300058536,4860,80,True,281.97325900231954,3973,274.2110543990275,1442,97.2471841369794,2312,2549,4861,0.4756222999382843
Overtaking_Easy,9,0.11333333333333351,0.0,32.22485790005885,4860,80,False,284.61776829964947,3914,277.10028310120106,1467,97.35874353756653,2386,2475,4861,0.4908455050401152
