Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Intersection_Easy,0,0.05084959795021135,0.6464330261039394,12.73091739998199,1861,30,True,12.675275498186238,1861,12.499733101343736,187,98.61508022553339,170,1691,1861,0.09134873723804406
Intersection_Easy,1,0.0760429799603759,0.3642896152773801,22.618746799998917,3301,54,True,22.525795203167945,3301,22.1768972997088,331,98.4511183720161,317,2984,3301,0.09603150560436231
Intersection_Easy,2,0.07907605479276322,0.4216218405594097,12.715565700083971,1861,30,True,12.66685990348924,1861,12.496776800253429,187,98.65725914289966,168,1693,1861,0.09027404621171413
Intersection_Easy,3,0.08676746666278627,0.2441849284051955,14.368753399932757,2101,34,True,14.312519604456611,2101,14.114379799575545,211,98.61561898004759,191,1910,2101,0.09090909090909091
Intersection_Easy,4,0.09289169208684027,0.17559906529574154,23.470992799964733,3421,56,True,23.369189401972108,3421,23.015823000925593,343,98.48789619970005,311,3110,3421,0.09090909090909091
Intersection_Easy,5,0.054326901075433254,0.0579076194036426,17.298335600062273,2521,41,True,17.22711070009973,2521,16.978466500062495,253,98.55666916892922,229,2292,2521,0.09083696945656486
Intersection_Easy,6,0.050601243035376386,0.06188486831280973,12.75235970003996,1861,30,True,12.703258499735966,1861,12.52802169881761,187,98.62053660545443,174,1687,1861,0.09349811929070392
Intersection_Easy,7,0.01927860427204591,1.0,7.5969218000536785,1021,16,True,7.569405599846505,1021,7.472113699885085,112,98.71466922101001,105,916,1021,0.10284035259549461
Intersection_Easy,8,0.031021057249517595,0.9991393436826713,12.705470200045966,1861,30,True,12.655270902323537,1861,12.486235499498434,187,98.66430830181544,160,1701,1861,0.08597528210639441
Intersection_Easy,9,0.0703413447396261,0.4281428449796151,18.118951999931596,2641,43,True,18.04017599823419,2641,17.78168600006029,265,98.56714259218313,234,2407,2641,0.08860280196895115
