Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Intersection_Easy,0,0.10348856840203567,0.005407938708686075,36.03246139991097,4860,80,False,278.9803446026053,4644,272.1213258985663,1498,97.54139714974924,1701,3160,4861,0.3499279983542481
Intersection_Easy,1,0.10258793451982573,0.006387554878596128,37.807111100060865,4860,80,False,287.212578500621,4665,280.18009050004184,1538,97.55146935510557,1715,3146,4861,0.3528080641843242
Intersection_Easy,2,0.10412937273406508,0.004742024507795264,37.73736300005112,4860,80,False,290.4820293961093,4653,283.46122080262285,1537,97.58304890389185,1737,3124,4861,0.357333881917301
Intersection_Easy,3,0.1002656050263029,0.00887506405249,35.837062099948525,4860,80,False,271.91533760365564,4639,265.7432258980116,1464,97.73013476913887,1668,3193,4861,0.343139271754783
Intersection_Easy,4,0.10284136131171627,0.006067683628539441,36.54354189999867,4860,80,False,295.087524898001,4666,288.43361470114905,1540,97.74510623614064,1726,3135,4861,0.3550709730508126
Intersection_Easy,5,0.10363709496704344,0.005332232675023792,37.060305900056846,4860,80,False,285.8000656035729,4661,279.2351031014696,1522,97.70295276586486,1694,3167,4861,0.34848796543921
Intersection_Easy,6,0.10565453853484856,0.0031262467636648623,35.9762598000234,4860,80,False,283.2296314983396,4639,276.6286903989967,1511,97.66940306901412,1715,3146,4861,0.3528080641843242
Intersection_Easy,7,0.10192392188020594,0.007096407789466255,36.68959520000499,4860,80,False,292.5654538003728,4676,284.83299749996513,1549,97.35701662654822,1717,3144,4861,0.3532195021600494
Intersection_Easy,8,0.10346179986885835,0.005630169349155814,40.11142289999407,4860,80,False,314.3156199987279,4677,306.9138108009938,1536,97.64510297077693,1702,3159,4861,0.3501337173421107
Intersection_Easy,9,0.10135999054499187,0.007698498943566759,37.94299939996563,4860,80,False,285.56945720431395,4674,279.22391730116215,1437,97.77793466945877,1604,3257,4861,0.3299732565315779
