run,HV,IGD+,runtime_s,evaluations,generations,stopped_early
0,0.5299887742567774,0.00033856760391670626,55.91269399999874,4860,80,False
1,0.24892128845340125,0.028445316184254277,58.1345513999986,4860,80,False
2,0.5331633428800205,2.111074159238946e-05,55.492820899991784,4860,80,False
3,0.5333744502959444,0.0,58.15253659999871,4860,80,False
4,0.5295743439620467,0.00038001063338977126,58.46624030001112,4860,80,False
5,0.5328942189935967,4.802313023477556e-05,58.77874999999767,4860,80,False
6,0.5004732975249899,0.00329011527709544,57.48564780000015,4860,80,False
7,0.4675473776760648,0.006582707261987952,57.20388970000204,4860,80,False
8,0.5249856034581287,0.0008388846837815711,56.75355219999619,4860,80,False
9,0.5319803276749809,0.00013941226209635005,57.173800499993376,4860,80,False
