Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Intersection_Hard,0,0.3966666666666673,0.0,16.164143499918282,44,16,True,3.282660700380802,47,3.2472504993202165,47,98.92129573255993,45,2,47,0.9574468085106383
Intersection_Hard,1,0.27736842105263204,0.030393957979402524,14.688119299942628,44,16,True,3.446274299873039,48,3.4096014999086037,48,98.93587112419384,45,3,48,0.9375
Intersection_Hard,2,0.3966666666666673,0.0,15.688756700023077,44,16,True,3.134721999755129,45,3.100265699904412,45,98.90081800384823,45,0,45,1.0
Intersection_Hard,3,0.3966666666666673,0.0,14.885479199932888,44,16,True,3.1476570001104847,45,3.1134679998504,45,98.91382700659936,45,0,45,1.0
Intersection_Hard,4,0.3966666666666673,0.0,15.248232600046322,44,16,True,3.2615191001677886,47,3.2264472999377176,47,98.9246789869093,45,2,47,0.9574468085106383
Intersection_Hard,5,0.3966666666666673,0.0,15.289057399961166,44,16,True,3.2633856998290867,45,3.2284990003099665,45,98.93096609692972,45,0,45,1.0
Intersection_Hard,6,0.3966666666666673,0.0,19.74291659996379,44,16,True,3.224132999894209,46,3.1891302993753925,46,98.91435308282985,45,1,46,0.9782608695652174
Intersection_Hard,7,0.3726368516429036,0.006122145253066174,14.163967599975877,44,16,True,3.192232899949886,46,3.156792900059372,46,98.88980531805589,45,1,46,0.9782608695652174
Intersection_Hard,8,0.3966666666666673,0.0,14.30720509996172,44,16,True,3.3350037003401667,48,3.2975188000127673,48,98.8760162297998,45,3,48,0.9375
Intersection_Hard,9,0.3966666666666673,0.0,15.947500699898228,44,16,True,3.2123761002440006,46,3.1773709000553936,46,98.91030193550662,45,1,46,0.9782608695652174
