Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Overtaking_Easy,0,0.11333333333333351,0.0,14.808621100033633,39,16,True,3.571597500005737,52,3.5356902999337763,51,98.99464595123322,40,12,52,0.7692307692307693
Overtaking_Easy,1,0.11333333333333351,0.0,13.974482000106946,35,16,True,3.2066873002331704,52,3.174648499931209,48,99.00087544240338,36,17,53,0.6792452830188679
Overtaking_Easy,2,0.11333333333333351,0.0,12.695606600027531,40,16,True,3.2302573999622837,48,3.1968509000726044,48,98.96582545124517,41,7,48,0.8541666666666666
Overtaking_Easy,3,0.11333333333333351,0.0,12.155629999935627,36,16,True,3.2138971004169434,51,3.181020299671218,48,98.97704252132216,37,15,52,0.7115384615384616
Overtaking_Easy,4,0.11333333333333351,0.0,12.549753600033,40,16,True,3.1181635999819264,45,3.086232000379823,45,98.97594854861725,41,4,45,0.9111111111111111
Overtaking_Easy,5,0.11333333333333351,0.0,12.070921799982898,37,16,True,3.2938905999762937,52,3.2610481003066525,49,99.0029268224671,38,15,53,0.7169811320754716
Overtaking_Easy,6,0.11333333333333351,0.0,12.357546300045215,37,16,True,3.4745259997434914,55,3.4389025000855327,52,98.9747234684504,38,17,55,0.6909090909090909
Overtaking_Easy,7,0.11333333333333351,0.0,12.6668988999445,39,16,True,3.400291100027971,51,3.3659102002857253,50,98.98888363581686,40,11,51,0.7843137254901961
Overtaking_Easy,8,0.11333333333333351,0.0,13.760829300037585,38,16,True,3.3098580001387745,51,3.2765206003095955,49,98.99278458991952,39,12,51,0.7647058823529411
Overtaking_Easy,9,0.11333333333333351,0.0,12.773507000063546,40,16,True,3.086502899765037,46,3.0535011996980757,46,98.9307737222773,41,5,46,0.8913043478260869
