Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Intersection_Hard,0,0.39664722189814317,4.953999737373865e-06,34.43488060007803,4860,80,False,300.91373479843605,3962,293.82343829702586,1480,97.643744475087,2377,2484,4861,0.488994034149352
Intersection_Hard,1,0.39652276085889293,3.666329753612826e-05,37.46363589994144,4860,80,False,314.1528419010574,4028,304.6044426021399,1544,96.96058796058105,2370,2491,4861,0.4875540012343139
Intersection_Hard,2,0.3937756083663754,0.0007365632582675394,31.839168000034988,4860,80,False,265.04223799856845,3937,259.60978270170745,1334,97.95034356113068,2257,2604,4861,0.4643077556058424
Intersection_Hard,3,0.3965849976017779,2.0807063118896553e-05,33.9073795999866,4860,80,False,293.15227699652314,3917,286.278329300927,1430,97.6551614178055,2374,2487,4861,0.4883768771857642
Intersection_Hard,4,0.39663555451848465,7.926531690761343e-06,34.02937000000384,4860,80,False,289.6714002004592,3973,283.3035613988759,1405,97.80170261987321,2291,2570,4861,0.4713022011931701
Intersection_Hard,5,0.39664722189814317,4.953999737373865e-06,32.71642990002874,4860,80,False,288.97748440667056,3900,282.7525259971153,1400,97.84586732688314,2356,2505,4861,0.4846739354042378
Intersection_Hard,6,0.3966666666666673,0.0,32.67699150007684,4200,69,True,288.58549110323656,3563,280.77830090222415,1377,97.29466988407275,2010,2191,4201,0.4784575101166389
Intersection_Hard,7,0.3966666666666673,0.0,32.66452150000259,4860,80,False,284.5095649015857,3941,277.58838599873707,1407,97.5673299752707,2322,2539,4861,0.4776794898169101
Intersection_Hard,8,0.3966666666666673,0.0,30.37482030002866,4620,76,True,265.10021700616926,3754,259.45394229877274,1288,97.87013576557536,2153,2468,4621,0.4659164682969054
Intersection_Hard,9,0.3966666666666673,0.0,37.038449299987406,4860,80,False,315.50026379688643,4026,307.36887209804263,1546,97.42269892234428,2379,2482,4861,0.4894054721250771
