Algorithm,Generation,median,q1,q3
eps-constraint,30,0.1078394022266081,0.06769461628140601,0.20305930603941283
eps-constraint,31,0.10564633128431257,0.06421372775196957,0.20305930603941283
eps-constraint,32,0.10564633128431257,0.06288294412588429,0.20204288255217345
eps-constraint,33,0.10564633128431257,0.06480865120651048,0.20113167267853677
eps-constraint,34,0.10088557372345806,0.061920090585571186,0.18643970865701048
eps-constraint,35,0.10413737765273778,0.06788392726874236,0.2024984874889918
eps-constraint,36,0.10857142857142876,0.07427292926403971,0.2024984874889918
eps-constraint,37,0.10857142857142876,0.07427292926403971,0.2126636410520889
eps-constraint,38,0.09924529061148588,0.06767193708467201,0.21374510325684
eps-constraint,39,0.0976050074995137,0.07552284790433794,0.21698948987109334
eps-constraint,40,0.09630250374975693,0.07507449976207003,0.21374510325684
eps-constraint,41,0.09500000000000017,0.07465375474483602,0.20758106427054035
eps-constraint,42,0.09109351436804185,0.07377086002281716,0.18216201660557269
eps-constraint,43,0.09109351436804185,0.07374325689778327,0.19753157564240423
eps-constraint,44,0.0911263642996975,0.07465375474483602,0.20758106427054035
eps-constraint,45,0.0911263642996975,0.07465375474483602,0.20758106427054035
eps-constraint,46,0.09109351436804185,0.07421920816508507,0.19753157564240423
eps-constraint,47,0.09106066443638619,0.0737846615853341,0.2024984874889918
eps-constraint,48,0.08921118875581276,0.07377086002281716,0.19013904034000337
eps-constraint,49,0.08736171307523932,0.07375705846030021,0.1940234170149276
eps-constraint,50,0.08921118875581276,0.07374325689778327,0.20334352903350825
eps-constraint,51,0.08310533229911685,0.06934530928537336,0.20334352903350825
eps-constraint,52,0.07884895152299436,0.06788392726874236,0.1753831929777663
eps-constraint,53,0.07884895152299436,0.05857082669669487,0.13325477863873192
eps-constraint,54,0.07718589971366616,0.050991512377409134,0.09110993933386968
eps-constraint,55,0.07718589971366616,0.06616795661911623,0.09107708940221401
eps-constraint,56,0.07718589971366616,0.06616795661911623,0.09107708940221401
eps-constraint,57,0.08144228048978863,0.0737610725009189,0.09110993933386968
eps-constraint,58,0.08144228048978863,0.0737610725009189,0.09110993933386968
eps-constraint,59,0.08144228048978863,0.06619154570353143,0.1618901885452946
eps-constraint,60,0.07552284790433794,0.058598429821728755,0.08924403868746841
eps-constraint,61,0.07552284790433794,0.058598429821728755,0.08924403868746841
eps-constraint,62,0.0737846615853341,0.04341219805812341,0.0911263642996975
eps-constraint,63,0.0737846615853341,0.04341219805812341,0.0911263642996975
eps-constraint,64,0.06726928117891046,0.04291129848292668,0.1686745274756408
eps-constraint,65,0.0911263642996975,0.06726928117891046,0.2462226906515841
eps-constraint,66,0.0911263642996975,0.06726928117891046,0.2462226906515841
eps-constraint,67,0.0911263642996975,0.06726928117891046,0.2462226906515841
eps-constraint,68,0.0911263642996975,0.06726928117891046,0.2462226906515841
eps-constraint,69,0.0911263642996975,0.06726928117891046,0.2462226906515841
eps-constraint,70,0.0911263642996975,0.06726928117891046,0.2462226906515841
eps-constraint,71,0.2462226906515841,0.1686745274756408,0.32377085382752735
eps-constraint,72,0.2462226906515841,0.1686745274756408,0.32377085382752735
eps-constraint,73,0.2462226906515841,0.1686745274756408,0.32377085382752735
eps-constraint,74,0.2462226906515841,0.1686745274756408,0.32377085382752735
eps-constraint,75,0.0911263642996975,0.0911263642996975,0.0911263642996975
eps-constraint,76,0.0911263642996975,0.0911263642996975,0.0911263642996975
eps-constraint,77,0.0911263642996975,0.0911263642996975,0.0911263642996975
eps-constraint,78,0.0911263642996975,0.0911263642996975,0.0911263642996975
moead,1,0.06595834313020826,0.0340041094289748,0.17325512930720294
moead,2,0.06914038347788451,0.04159814193072564,0.1783074655984347
moead,3,0.07796400513468066,0.04296807418993196,0.18832625453560758
