Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
ObstacleAvoidance_Hard,0,0.20975962720422803,0.06130537150691428,59.25027509999927,4080,68,True,48.88388010126073,4080,48.36504310043529,408,98.93863375871413,344,3736,4080,0.08431372549019608
ObstacleAvoidance_Hard,1,0.20626909872718355,0.09376027699079229,32.19326359999832,2460,41,True,29.448422898887657,2460,29.181002798490226,246,99.09190349067035,213,2247,2460,0.08658536585365853
ObstacleAvoidance_Hard,2,0.20587991506919667,0.12373958669795176,53.18491399998311,3780,63,True,44.56121160008479,3780,44.123131498810835,379,99.01690262552664,321,3459,3780,0.08492063492063492
ObstacleAvoidance_Hard,3,0.2061223679543325,0.06777199294029587,43.79763509996701,3240,54,True,38.2752333994722,3240,37.913809201680124,324,99.05572307288122,279,2961,3240,0.08611111111111111
ObstacleAvoidance_Hard,4,0.20134213597045375,0.1574440274165143,46.81429399992339,3420,57,True,40.40016700210981,3420,40.008089000941254,342,99.02951390981112,300,3120,3420,0.08771929824561403
ObstacleAvoidance_Hard,5,0.2090620272359202,0.06127745769589264,48.90413769998122,3540,59,True,42.24769010057207,3540,41.861022699740715,354,99.0847608474904,314,3226,3540,0.08870056497175141
ObstacleAvoidance_Hard,6,0.20830892643825502,0.09112141262466109,59.68691960000433,4200,70,True,49.170200403314084,4200,48.7152847989928,420,99.07481441891657,345,3855,4200,0.08214285714285714
ObstacleAvoidance_Hard,7,0.20759374584122353,0.08134928426669384,70.42089539999142,4740,79,True,55.74126729846466,4740,55.207511600106955,474,99.04244068313027,403,4337,4740,0.0850210970464135
ObstacleAvoidance_Hard,8,0.2030907399642613,0.11935737793659952,73.33550529996864,4800,80,False,57.279297103057615,4800,56.7037008991465,480,98.99510602779308,414,4386,4800,0.08625
ObstacleAvoidance_Hard,9,0.20354295281837062,0.11018911823091024,39.32482019998133,2880,48,True,35.16405010293238,2880,34.84319400100503,288,99.0875450894077,242,2638,2880,0.08402777777777778
