Scenario,Algorithm,Generation,median,q1,q3
Overtaking_Easy,eps-constraint,1,0.08176539054195772,0.07595702586397608,0.09577754880532592
Overtaking_Easy,eps-constraint,2,0.09332664235630111,0.08270863129075406,0.09915873173761254
Overtaking_Easy,eps-constraint,3,0.09875289219166816,0.084005619354685,0.10255161196328771
Overtaking_Easy,eps-constraint,4,0.0961156431616704,0.08262496406807618,0.1031653948145484
Overtaking_Easy,eps-constraint,5,0.10106264145958738,0.08262496406807618,0.11087652348210639
Overtaking_Easy,eps-constraint,6,0.1027040422759456,0.09222679591059021,0.113323278881273
Overtaking_Easy,eps-constraint,7,0.1027040422759456,0.09985463189976498,0.113323278881273
Overtaking_Easy,eps-constraint,8,0.10302753800687921,0.07394891879847897,0.113323278881273
Overtaking_Easy,eps-constraint,9,0.10302753800687921,0.07394891879847897,0.113323278881273
Overtaking_Easy,eps-constraint,10,0.10302753800687921,0.07511512348390932,0.113323278881273
Overtaking_Easy,eps-constraint,11,0.10302753800687921,0.07511512348390932,0.113323278881273
Overtaking_Easy,eps-constraint,12,0.10302753800687921,0.08880115662214802,0.113323278881273
Overtaking_Easy,eps-constraint,13,0.10302753800687921,0.08944250278898265,0.113323278881273
Overtaking_Easy,eps-constraint,14,0.10434016101191432,0.08953193706273198,0.113323278881273
Overtaking_Easy,eps-constraint,15,0.10962024947727368,0.0934688494493354,0.11333333333333351
Overtaking_Easy,eps-constraint,16,0.10962024947727368,0.10232972790719512,0.11333333333333351
Overtaking_Easy,eps-constraint,17,0.10594738342945591,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,18,0.10749140749509922,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,19,0.11329311552509146,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,20,0.11329311552509146,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,21,0.11329311552509146,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,22,0.11329311552509146,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,23,0.11329311552509146,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,24,0.11329311552509146,0.10178133719874002,0.11333333333333351
Overtaking_Easy,eps-constraint,25,0.11329311552509146,0.10179042293198483,0.11333333333333351
Overtaking_Easy,eps-constraint,26,0.11329311552509146,0.10179042293198483,0.11333333333333351
Overtaking_Easy,eps-constraint,27,0.11329311552509146,0.10483933899034223,0.11333333333333351
Overtaking_Easy,eps-constraint,28,0.11329311552509146,0.10483933899034223,0.11333333333333351
Overtaking_Easy,eps-constraint,29,0.11329311552509146,0.10483933899034223,0.11333333333333351
Overtaking_Easy,eps-constraint,30,0.11329311552509146,0.10483933899034223,0.11333333333333351
