Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
ObstacleAvoidance_Hard,0,0.22000000000000008,0.0,15.514893100014888,39,16,True,3.5946623999625444,46,3.558723599766381,46,99.0002176505772,40,11,51,0.7843137254901961
ObstacleAvoidance_Hard,1,0.22000000000000008,0.0,17.13809540006332,46,16,True,3.4057067001704127,49,3.367693000007421,49,98.88382343197405,47,2,49,0.9591836734693877
ObstacleAvoidance_Hard,2,0.22000000000000008,0.0,13.768514499999583,38,16,True,3.439289899659343,49,3.4025320997461677,49,98.9312386863109,39,13,52,0.75
ObstacleAvoidance_Hard,3,0.22000000000000008,0.0,14.461065100040287,44,16,True,3.699402600293979,53,3.6583481000270694,53,98.89023973050007,45,8,53,0.8490566037735849
ObstacleAvoidance_Hard,4,0.22000000000000008,0.0,15.57380190002732,41,16,True,3.6627593003213406,52,3.6235305002192035,52,98.9289823085373,42,10,52,0.8076923076923077
ObstacleAvoidance_Hard,5,0.22000000000000008,0.0,14.070486099924892,40,16,True,3.661164299584925,52,3.621721000294201,52,98.92265694562803,41,12,53,0.7735849056603774
ObstacleAvoidance_Hard,6,0.13391635713584724,0.5744169209270904,11.021420700009912,30,16,True,3.6758138997247443,51,3.640251799719408,51,99.03253807250691,31,20,51,0.6078431372549019
ObstacleAvoidance_Hard,7,0.22000000000000008,0.0,15.17095880000852,43,16,True,3.917673600371927,56,3.875038799829781,56,98.91173168336181,44,12,56,0.7857142857142857
ObstacleAvoidance_Hard,8,0.22000000000000008,0.0,14.072257100022398,43,16,True,3.606940099853091,50,3.5675848001847044,50,98.90890065876088,44,6,50,0.88
ObstacleAvoidance_Hard,9,0.22000000000000008,0.0,16.976868300000206,45,16,True,4.139530400047079,59,4.094250199617818,59,98.90615127675483,46,13,59,0.7796610169491526
