Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
LaneMerge_Hard,0,0.13690601230745825,0.10464503672005344,18.729075800045393,2301,37,True,18.661283499212004,2301,18.412250299123116,231,98.66550872505954,189,2112,2301,0.08213820078226858
LaneMerge_Hard,1,0.2986545815048529,0.34284900140234004,16.066537900012918,1881,30,True,16.011686901561916,1881,15.808781300205737,189,98.73276561924037,149,1732,1881,0.07921318447634237
LaneMerge_Hard,2,0.08395699359293408,1.0,15.73078889993485,1881,30,True,15.677652698708698,1881,15.491047299583443,189,98.80973636352701,130,1751,1881,0.06911217437533226
LaneMerge_Hard,3,0.3401880063552243,0.21572260058408838,18.96927469992079,2301,37,True,18.902690800838172,2301,18.66058939974755,231,98.71922255068635,174,2127,2301,0.07561929595827901
LaneMerge_Hard,4,0.13647770705715212,0.839243469683357,17.771765000070445,2181,35,True,17.710588498041034,2181,17.47953409946058,219,98.69538836269606,171,2010,2181,0.07840440165061899
LaneMerge_Hard,5,0.272461209537612,0.4230222381504588,16.820867700036615,2061,33,True,16.76253329915926,2061,16.5580694002565,207,98.78023270556,137,1924,2061,0.06647258612324114
LaneMerge_Hard,6,0.085508937960043,0.12429157338171469,16.291995899984613,2001,32,True,16.235752797685564,2001,16.03080969909206,201,98.73770498265581,155,1846,2001,0.07746126936531735
LaneMerge_Hard,7,0.3644383717620282,0.01767077021760005,21.38319700001739,2541,41,True,21.310779798659496,2541,21.053128299070522,255,98.79098042388304,165,2376,2541,0.06493506493506493
LaneMerge_Hard,8,0.16938165192232513,0.7385303669594379,15.237515400047414,1881,30,True,15.184024798334576,1881,14.997079700115137,189,98.76880405095265,130,1751,1881,0.06911217437533226
LaneMerge_Hard,9,0.18672905235536566,0.6854330702989698,15.513686100021005,1881,30,True,15.459019700763747,1881,15.267671600333415,189,98.76222358122179,129,1752,1881,0.0685805422647528
