Scenario,Algorithm,Generation,median,q1,q3
Intersection_Hard,eps-constraint,1,0.28119372421497335,0.2631984465403415,0.2996773754709876
Intersection_Hard,eps-constraint,2,0.28965358315585576,0.2665589145212784,0.32778233566509024
Intersection_Hard,eps-constraint,3,0.3045119908020225,0.2618055028361005,0.3356514664941171
Intersection_Hard,eps-constraint,4,0.3215551917128038,0.2685947260836988,0.3367293209408143
Intersection_Hard,eps-constraint,5,0.32190134645439467,0.11839549258718947,0.3406861298846905
Intersection_Hard,eps-constraint,6,0.3237021222386054,0.12434125043517802,0.34701289118527556
Intersection_Hard,eps-constraint,7,0.32389787850376817,0.12905801942022646,0.34701289118527556
Intersection_Hard,eps-constraint,8,0.32389787850376817,0.12905801942022646,0.34701289118527556
Intersection_Hard,eps-constraint,9,0.3087013815142011,0.05389913921235592,0.34067898129337126
Intersection_Hard,eps-constraint,10,0.3087013815142011,0.05389913921235592,0.34067898129337126
Intersection_Hard,eps-constraint,11,0.3087013815142011,0.05389913921235592,0.3417011020617891
Intersection_Hard,eps-constraint,12,0.3087013815142011,0.05389913921235592,0.3417011020617891
Intersection_Hard,eps-constraint,13,0.3087013815142011,0.07700288369471642,0.3417011020617891
Intersection_Hard,eps-constraint,14,0.3087013815142011,0.07977518342169929,0.3417011020617891
Intersection_Hard,eps-constraint,15,0.3087013815142011,0.07977518342169929,0.3425314890524077
Intersection_Hard,eps-constraint,16,0.3210644102421488,0.07977518342169929,0.3435004886782635
Intersection_Hard,eps-constraint,17,0.32389795840479624,0.07977518342169929,0.3435004886782635
Intersection_Hard,eps-constraint,18,0.32389795840479624,0.07977518342169929,0.3439953004548104
Intersection_Hard,eps-constraint,19,0.3265096494581129,0.07977518342169929,0.34412010383206126
Intersection_Hard,eps-constraint,20,0.3265096494581129,0.07977518342169929,0.34412010383206126
Intersection_Hard,eps-constraint,21,0.3265096494581129,0.07977518342169929,0.34413697981610425
Intersection_Hard,eps-constraint,22,0.2101357095171468,0.05389913921235592,0.3453130214399843
Intersection_Hard,eps-constraint,23,0.2593162644352738,0.07977518342169929,0.3453130214399843
Intersection_Hard,eps-constraint,24,0.1533179325708648,0.05389913921235592,0.33169745349639146
Intersection_Hard,eps-constraint,25,0.1533179325708648,0.05389913921235592,0.33169745349639146
Intersection_Hard,eps-constraint,26,0.1533179325708648,0.05389913921235592,0.33169745349639146
Intersection_Hard,eps-constraint,27,0.1533179325708648,0.05389913921235592,0.33169745349639146
Intersection_Hard,eps-constraint,28,0.1533179325708648,0.05389913921235592,0.33169745349639146
Intersection_Hard,eps-constraint,29,0.24850825930026976,0.07977518342169929,0.33169745349639146
Intersection_Hard,eps-constraint,30,0.2808568033198209,0.1287276551118013,0.33169745349639146
Intersection_Hard,eps-constraint,31,0.2348470315085429,0.1287276551118013,0.2876874172156843
Intersection_Hard,eps-constraint,32,0.2348470315085429,0.1287276551118013,0.2876874172156843
Intersection_Hard,eps-constraint,33,0.2348470315085429,0.1287276551118013,0.2876874172156843
Intersection_Hard,eps-constraint,34,0.2348470315085429,0.1287276551118013,0.2876874172156843
Intersection_Hard,eps-constraint,35,0.2348470315085429,0.1287276551118013,0.2876874172156843
Intersection_Hard,eps-constraint,36,0.26719557552809403,0.2024984874889918,0.33688525753466997
Intersection_Hard,eps-constraint,37,0.302040416531382,0.2510213035183185,0.34620935847152395
Intersection_Hard,eps-constraint,38,0.302040416531382,0.2510213035183185,0.34620935847152395
Intersection_Hard,eps-constraint,39,0.302040416531382,0.2510213035183185,0.34620935847152395
Intersection_Hard,eps-constraint,40,0.302040416531382,0.2510213035183185,0.34620935847152395
Intersection_Hard,eps-constraint,41,0.302040416531382,0.2510213035183185,0.34620935847152395
Intersection_Hard,eps-constraint,42,0.26719557552809403,0.2348470315085429,0.32068861840509
Intersection_Hard,eps-constraint,43,0.26719557552809403,0.2348470315085429,0.32068861840509
Intersection_Hard,eps-constraint,44,0.26719557552809403,0.2348470315085429,0.32068861840509
Intersection_Hard,eps-constraint,45,0.26719557552809403,0.2348470315085429,0.32068861840509
Intersection_Hard,eps-constraint,46,0.26719557552809403,0.2348470315085429,0.32068861840509
Intersection_Hard,eps-constraint,47,0.26719557552809403,0.2348470315085429,0.32068861840509
Intersection_Hard,eps-constraint,48,0.32068861840509,0.293942096966592,0.3474351398435879
Intersection_Hard,eps-constraint,49,0.32068861840509,0.293942096966592,0.3474351398435879
Intersection_Hard,eps-constraint,50,0.34213299080683934,0.3261086555692161,0.35815732604446265
Intersection_Hard,eps-constraint,51,0.34213299080683934,0.3261086555692161,0.35815732604446265
Intersection_Hard,eps-constraint,52,0.34213299080683934,0.3261086555692161,0.35815732604446265
Intersection_Hard,eps-constraint,53,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,eps-constraint,54,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,eps-constraint,55,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,eps-constraint,56,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,eps-constraint,57,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,eps-constraint,58,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,eps-constraint,59,0.3741816612820859,0.3741816612820859,0.3741816612820859
Intersection_Hard,moead,1,0.22945541697034127,0.1793296560801223,0.2582065810456286
Intersection_Hard,moead,2,0.24549940012192073,0.1970591033376353,0.29193446492245995
Intersection_Hard,moead,3,0.2736166164333286,0.22636256451549652,0.3001071749094245
Intersection_Hard,moead,4,0.27802570398612714,0.21487122760563998,0.31185811148310666
Intersection_Hard,moead,5,0.2791928317881415,0.2189437656473871,0.3109352299392504
Intersection_Hard,moead,6,0.2856032264072441,0.22406597330067074,0.33067458118687754
Intersection_Hard,moead,7,0.2884240905047155,0.26915602032850583,0.33764696576529907
Intersection_Hard,moead,8,0.30443632978409274,0.2871643616563354,0.3501691168285062
Intersection_Hard,moead,9,0.2959477395486765,0.1437813516714427,0.3069850158514926
Intersection_Hard,moead,10,0.28485080888513226,0.11845537406527072,0.30797700832214153
Intersection_Hard,moead,11,0.29436889039924286,0.19187099924354095,0.31809182047606327
Intersection_Hard,moead,12,0.30260553939205237,0.19392774511666513,0.3347041704344378
Intersection_Hard,moead,13,0.30194226299579546,0.22427312390390408,0.3378773851470564
Intersection_Hard,moead,14,0.32232116786632303,0.27467430954189465,0.34240252733579246
Intersection_Hard,moead,15,0.3223295248994338,0.2770817486212163,0.3437886953987676
Intersection_Hard,moead,16,0.33337687155054674,0.28869054766211677,0.3481400290758449
Intersection_Hard,moead,17,0.3243542332813905,0.2712551134010181,0.3467157112967304
Intersection_Hard,moead,18,0.31747718224832866,0.2536540264180046,0.34581321907573653
Intersection_Hard,moead,19,0.3361978461359909,0.2851552186000764,0.3605908003202793
Intersection_Hard,moead,20,0.3051196885904621,0.2304781866989802,0.3455839807830169
Intersection_Hard,moead,21,0.31626392912405416,0.24633175255439832,0.3489006107992489
Intersection_Hard,moead,22,0.33637227313051954,0.2549528686459828,0.3593242561373774
Intersection_Hard,moead,23,0.33932436053470216,0.2800959418813484,0.36079742562393574
Intersection_Hard,moead,24,0.33162667275691887,0.24901312922853538,0.35384444703564144
Intersection_Hard,moead,25,0.33188454023810404,0.27752644578700564,0.36061173905620164
Intersection_Hard,moead,26,0.32596912538095196,0.11592182310406725,0.34522720037149485
Intersection_Hard,moead,27,0.33921127866943535,0.12524690464788366,0.34974900292443
Intersection_Hard,moead,28,0.3424148759966319,0.14963804879664444,0.3660530665763394
Intersection_Hard,moead,29,0.3521021252588878,0.18857113690387087,0.3660532883025423
Intersection_Hard,moead,30,0.28739325062405574,0.2044212795753638,0.3677705318717221
Intersection_Hard,moead,31,0.30560708989813706,0.22147545992346904,0.3677743754714111
Intersection_Hard,moead,32,0.3170796274578489,0.2350005846461915,0.3720358852219087
Intersection_Hard,moead,33,0.3526981113462084,0.24882443978907026,0.37430606245555575
Intersection_Hard,moead,34,0.35721602909515116,0.25407040629900157,0.3758035510006837
Intersection_Hard,moead,35,0.3646829253682886,0.2573125045718547,0.3780537440891903
Intersection_Hard,moead,36,0.36491656008045137,0.3007562457163345,0.3805171190021504
Intersection_Hard,moead,37,0.3708345862857162,0.3136646957948923,0.3863915781109478
Intersection_Hard,moead,38,0.3708345862857162,0.3347079838722425,0.3863916933041259
Intersection_Hard,moead,39,0.3765428651721572,0.34096617041541294,0.38827044503981345
