Scenario,Algorithm,Generation,median,q1,q3
Intersection_Easy,eps-constraint,34,0.09313826217275369,0.06712668331939697,0.10088557372345806
Intersection_Easy,eps-constraint,35,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,36,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,37,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,38,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,39,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,40,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,41,0.09701191794810587,0.07355936928469106,0.10280703743545073
Intersection_Easy,eps-constraint,42,0.09313826217275369,0.05398047639662845,0.09701191794810587
Intersection_Easy,eps-constraint,43,0.09313826217275369,0.05398047639662845,0.09701191794810587
Intersection_Easy,eps-constraint,44,0.05785413217198064,0.036338411396241936,0.07936985294771935
Intersection_Easy,eps-constraint,45,0.05785413217198064,0.036338411396241936,0.07936985294771935
Intersection_Easy,eps-constraint,46,0.05785413217198064,0.036338411396241936,0.07936985294771935
Intersection_Easy,eps-constraint,47,0.05785413217198064,0.036338411396241936,0.07936985294771935
Intersection_Easy,eps-constraint,48,0.05785413217198064,0.036338411396241936,0.07936985294771935
Intersection_Easy,eps-constraint,49,0.05785413217198064,0.036338411396241936,0.07936985294771935
Intersection_Easy,eps-constraint,50,0.0580341926192753,0.036428441619889264,0.07963994361866135
Intersection_Easy,eps-constraint,51,0.014200483224009738,0.013889379525762994,0.01451158692225648
Intersection_Easy,eps-constraint,52,0.014200483224009738,0.013889379525762994,0.01451158692225648
Intersection_Easy,eps-constraint,53,0.014200483224009738,0.013889379525762994,0.01451158692225648
Intersection_Easy,eps-constraint,54,0.014200483224009738,0.013889379525762994,0.01451158692225648
Intersection_Easy,eps-constraint,55,0.01357827582751625,0.01357827582751625,0.01357827582751625
Intersection_Easy,eps-constraint,56,0.01357827582751625,0.01357827582751625,0.01357827582751625
Intersection_Easy,moead,1,0.045948539724761636,0.043227368498805284,0.04795332087420148
Intersection_Easy,moead,2,0.055677967092995106,0.04824596763457993,0.060614588406477536
Intersection_Easy,moead,3,0.054670540035428594,0.05073988804466653,0.06833908487900722
Intersection_Easy,moead,4,0.06488415235721479,0.05991281193828916,0.07390591724380025
Intersection_Easy,moead,5,0.07066135309877147,0.06592729960795937,0.08015129273639632
Intersection_Easy,moead,6,0.07241188176462768,0.06717228228522783,0.0866020045661751
Intersection_Easy,moead,7,0.07554269438068609,0.06812700886684929,0.08867881322571514
Intersection_Easy,moead,8,0.08001047903585742,0.07009638510338283,0.09168751528045613
Intersection_Easy,moead,9,0.0831517817127414,0.06358231907746782,0.08933763448979418
Intersection_Easy,moead,10,0.0802042100451617,0.06169812545530442,0.08888261765881347
Intersection_Easy,moead,11,0.08237153646823428,0.06788390418244014,0.08905768270770384
Intersection_Easy,moead,12,0.08048634909788704,0.06826917758825296,0.08944792921142097
Intersection_Easy,moead,13,0.07985911437821507,0.06711528487324181,0.08672362359039308
Intersection_Easy,moead,14,0.07946026047015155,0.06871540701842697,0.0872770763790453
Intersection_Easy,moead,15,0.08271382367607955,0.04437176398854209,0.09287804676414932
Intersection_Easy,moead,16,0.08533466980931466,0.04789716060415691,0.09356698809915572
Intersection_Easy,moead,17,0.08277537877945074,0.03464908366906164,0.09019514994705193
Intersection_Easy,moead,18,0.08762063134508055,0.04536231764288168,0.09053848177560113
Intersection_Easy,moead,19,0.08822437729061272,0.05804496796163341,0.09068005479061915
Intersection_Easy,moead,20,0.089725262306493,0.060849229721701405,0.09617673005162003
Intersection_Easy,moead,21,0.08993211936967793,0.06638880689585551,0.0972067202604574
Intersection_Easy,moead,22,0.07943772103810144,0.06680449767228827,0.09431376172816652
Intersection_Easy,moead,23,0.09279046448900741,0.07848477626498737,0.0946024230719043
Intersection_Easy,moead,24,0.09707229347628096,0.08658762588799952,0.10018824228659874
Intersection_Easy,moead,25,0.09495748004783972,0.08618132043167763,0.10465357939615766
Intersection_Easy,moead,26,0.09003693589075915,0.06990023224218696,0.10600727931769192
Intersection_Easy,moead,27,0.0995667797895339,0.07326410025896565,0.10601171420641628
Intersection_Easy,moead,28,0.10220665596761291,0.07485359925598048,0.10641376299215136
Intersection_Easy,moead,29,0.10259401042642596,0.07623556765752613,0.10641923110536898
Intersection_Easy,moead,30,0.10373130563983965,0.07624057510103069,0.10695066654331345
Intersection_Easy,moead,31,0.10449069065991845,0.07671076165045379,0.10756705758870101
Intersection_Easy,moead,32,0.10658700492842033,0.07714848919295442,0.10762033700944433
Intersection_Easy,moead,33,0.10673076192689221,0.08820696038788416,0.10780078432668072
Intersection_Easy,moead,34,0.10679123664251042,0.08887753482324506,0.10800396502616272
Intersection_Easy,moead,35,0.10694189154568079,0.08887753482324506,0.1080746697272551
Intersection_Easy,moead,36,0.10694408334448391,0.08989291813764075,0.10810198219000355
Intersection_Easy,moead,37,0.10697850940287135,0.09995529547973885,0.10816435616221126
Intersection_Easy,moead,38,0.10744174793021743,0.1027387280878728,0.10824706565879727
Intersection_Easy,moead,39,0.10744174793021743,0.10283034464169713,0.1083588115440659
Intersection_Easy,moead,40,0.10749080594573246,0.10428651842557024,0.1084337257000707
Intersection_Easy,moead,41,0.10760665549912551,0.10428651842557024,0.10850700105895128
Intersection_Easy,moead,42,0.10775143342677518,0.10541505493294068,0.10851462127682265
Intersection_Easy,moead,43,0.10775143342677518,0.1060815324216271,0.10851462127682265
Intersection_Easy,moead,44,0.10822674119060594,0.10769644426959385,0.10851462127682265
Intersection_Easy,moead,45,0.10822674119060594,0.10774444965371938,0.1085289718675364
Intersection_Easy,moead,46,0.10824007719069484,0.10788437394727968,0.10854326370638256
Intersection_Easy,moead,47,0.10841590412891555,0.10789104083617596,0.10854326370638256
Intersection_Easy,moead,48,0.10842719583615934,0.10821792743542508,0.1085663264285695
Intersection_Easy,moead,49,0.10845781015162947,0.1082284732068109,0.10856938769679159
Intersection_Easy,moead,50,0.10850407174683563,0.1082833346205011,0.10856938769679159
Intersection_Easy,moead,51,0.10856530597667302,0.10829000195388633,0.10857040814868807
Intersection_Easy,moead,52,0.10856734688046599,0.10841719753065726,0.10857142857142876
Intersection_Easy,moead,53,0.10856734688046599,0.10847638770628454,0.10857142857142876
Intersection_Easy,moead,54,0.10856734688046599,0.10850557383966991,0.10857142857142876
Intersection_Easy,moead,55,0.10856938772594737,0.1085065942624106,0.10857142857142876
Intersection_Easy,moead,56,0.10857142857142876,0.1085065942624106,0.10857142857142876
Intersection_Easy,moead,57,0.10857142857142876,0.1085065942624106,0.10857142857142876
Intersection_Easy,moead,58,0.10857142857142876,0.1085065942624106,0.10857142857142876
Intersection_Easy,moead,59,0.10857142857142876,0.10851884265919959,0.10857142857142876
Intersection_Easy,moead,60,0.10857142857142876,0.10852333030134365,0.10857142857142876
Intersection_Easy,moead,61,0.10857142857142876,0.10852639209442605,0.10857142857142876
Intersection_Easy,moead,62,0.10857142857142876,0.10854938703010275,0.10857142857142876
Intersection_Easy,moead,63,0.10857142857142876,0.10854938703010275,0.10857142857142876
Intersection_Easy,moead,64,0.10857142857142876,0.10855557770293023,0.10857142857142876
Intersection_Easy,moead,65,0.10857142857142876,0.10856836721573804,0.10857142857142876
Intersection_Easy,moead,66,0.10857142857142876,0.10856836721573804,0.10857142857142876
Intersection_Easy,moead,67,0.10857142857142876,0.10856836721573804,0.10857142857142876
Intersection_Easy,moead,68,0.10857142857142876,0.10856836721573804,0.10857142857142876
Intersection_Easy,moead,69,0.10857142857142876,0.10856836721573804,0.10857142857142876
Intersection_Easy,moead,70,0.10857142857142876,0.10856938769679159,0.10857142857142876
Intersection_Easy,moead,71,0.10857142857142876,0.10856734682215441,0.10857142857142876
Intersection_Easy,moead,72,0.10857142857142876,0.10856734682215441,0.10857142857142876
Intersection_Easy,moead,73,0.10857142857142876,0.10857142857142876,0.10857142857142876
